"","LocationID","Long","Lat","close_class","Jan_temp","Feb_temp","March_temp","April_temp","May_temp","June_temp","July_temp","Aug_temp","Sept_temp","Oct_temp","Nov_temp","Dec_temp","Average_annual_temp"
"1",1,57,62,"0.1",-18.425,-16.1,-8.1,0.05,6.6,13.4,16.725,13.225,7.2,-1.075,-9.425,-15,-0.910416666666667
"2",2,-79.8333333333333,9.16666666666667,"0.1",25.925,26.35,27.2,27.725,27.25,26.45,26.7,26.325,26.05,26,25.625,25.575,26.43125
"3",4,-1,55,"0.5",3.01111111111111,3.24444444444444,5.27777777777778,7.41111111111111,10.2222222222222,13.3666666666667,14.9222222222222,14.6666666666667,12.8333333333333,9.36666666666667,6.04444444444444,4.03333333333333,8.7
"4",5,10,60,"0.1",-6.05,-5.6,-1.4,3.175,9.125,13.55,15.3,14.275,9.95,5.1,-0.725,-4.575,4.34375
"5",6,10,58,"0.5",-0.1,-0.38,1.82,5.32,10.3,14.22,15.8,15.7,12.76,9.16,4.6,2.36,7.63
"6",7,12,58,"0.1",-1.8,-1.95,0.975,5.075,10.675,14.775,16.125,15.675,12.1,8.275,3.325,-0.225,6.91875
"7",8,-1.33333333333333,51.7,"0.1",3.35,3.85,6,8.6,11.85,14.85,16.4,16.1,13.95,10.65,6.65,4.6,9.7375
"8",9,8.53333333333333,63.9166666666667,"0.1",0,-0.1,1.6,4.1,7.9,10.8,12.6,12.9,10.2,6.8,2.8,0.8,5.86666666666667
"9",10,8.66666666666667,63.8333333333333,"0.1",-0.175,-0.275,1.475,4.05,7.925,10.8,12.575,12.925,10.125,6.675,2.675,0.625,5.78333333333333
"10",12,9.25,64,"0.5",-1.15454545454545,-1.21818181818182,0.827272727272727,3.68181818181818,7.82727272727273,10.7181818181818,12.4090909090909,12.6545454545455,9.73636363636364,6.10909090909091,2,-0.2,5.28257575757576
"11",13,11,64.9166666666667,"0.1",-1.25,-1.25,0.7,3.6,7,10.65,12.65,13.5,9.95,6.4,2.25,0.05,5.35416666666667
"12",14,10.8333333333333,65.0833333333333,"0.1",-0.9,-0.9,0.9,3.8,7.1,10.7,12.6,13.6,10.1,6.6,2.4,0.4,5.53333333333333
"13",15,-10,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",16,35,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",17,11.8666666666667,67.4333333333333,"0.1",-0.3,-0.6,0.1,2.4,5.3,8.7,11.1,12.1,9.1,5.7,2.4,0.7,4.725
"16",18,-5.15,51.7,"0.1",4.2,4.3,5.6,8.3,10.9,14.5,16.4,16.2,13.4,10.6,7.1,5.3,9.73333333333333
"17",19,-115,55,"0.1",-19.075,-13.15,-8.275,0.975,7.6,11.425,13.85,12.525,7.575,2.35,-7.35,-14.15,-0.475
"18",20,-125,55,"0.1",-12.975,-8.55,-3.825,1.75,6.65,10.875,13.475,12.825,8.3,2.95,-4.825,-10.25,1.36666666666667
"19",21,-98,55,"0.1",-23.575,-19.1,-12.075,-1.275,7.375,13.6,17.15,15.3,8.4,1.725,-9.8,-20.175,-1.87083333333333
