"","Long","Lat.x","tmean1","tmean2","tmean3","tmean4","tmean5","tmean6","tmean7","tmean8","tmean9","tmean10","tmean11","tmean12"
"1",-40.4166666666667,83.75,-292.666666666667,-306.333333333333,-309.666666666667,-230.333333333333,-104.666666666667,-19.6666666666667,13.3333333333333,-3.66666666666667,-89.3333333333333,-179,-244,-274
"2",-39.5833333333333,83.75,-299.75,-313.75,-317,-237.75,-111,-25.75,7,-10,-96.25,-187,-252.25,-282
"3",-38.75,83.75,-293.2,-306.4,-308.4,-231,-104.2,-20.2,12.6,-4.2,-89.2,-180,-245.8,-274.4
"4",-37.9166666666667,83.75,-296,-309.428571428571,-312,-233.857142857143,-107.142857142857,-22.2857142857143,9.85714285714286,-6.42857142857143,-92,-183.428571428571,-249.142857142857,-278.285714285714
"5",-37.0833333333333,83.75,-294.714285714286,-307.571428571429,-310,-232.285714285714,-105.285714285714,-21,11,-5,-90.2857142857143,-182.142857142857,-247.428571428571,-277.285714285714
"6",-36.25,83.75,-295.7,-308.8,-310.5,-232.5,-106.4,-21.5,10.7,-5.2,-90.5,-182.7,-248.8,-277.9
"7",-35.4166666666667,83.75,-295.8,-309.2,-310.2,-233.2,-107,-22,10,-5.6,-90.8,-183.6,-250,-278.7
"8",-34.5833333333333,83.75,-305,-317.5,-319,-241.6,-114.5,-28.7,3.9,-12.2,-99,-192.5,-259.7,-287.8
"9",-33.75,83.75,-301.1,-313.3,-314.3,-237.1,-110.3,-24.9,7.5,-8,-94.7,-188,-255.6,-284
"10",-32.9166666666667,83.75,-303.7,-316.5,-317.1,-239.6,-112.7,-26.6,5.8,-9.7,-96.9,-191.1,-258.9,-286.6
"11",-32.0833333333333,83.75,-309.4,-322.1,-322.6,-245.3,-117.2,-30.7,2,-13.7,-102.3,-197.2,-265,-292.5
"12",-31.25,83.75,-309.3,-321.6,-321.8,-245.2,-116.9,-30,3,-12.6,-101.7,-197.3,-265.2,-292.3
"13",-30.4166666666667,83.75,-306.9,-318.9,-318.7,-242.2,-114,-26.8,6.9,-8.2,-97.1,-193.7,-262.6,-289.7
"14",-29.5833333333333,83.75,-301.2,-313.9,-312.6,-236.9,-108.6,-21.6,14.2,-0.1,-88.7,-186.9,-255.9,-283.9
